Listado de tablas con sus acrónimos y álias

TBEP_APARTADOSBAREMACION            APA     bepapa
TBEP_AREAS                          ARE     bepare
TBEP_BLOQUESBAREMACION              BLO     bepblo
TBEP_BOLSAS                         BOL     bepbol
TBEP_CATEGORIABAREMACION            CAT     bepcat
TBEP_CONVOCATORIAS                  CON     bepcon
TBEP_DEPARTAMENTOS                  DEP     bepdep
TBEP_FICHEROS                       FIC     bepfic
TBEP_ITEMSBAREMACION                ITE     bepite
TBEP_MERITOS                        MER     bepmer
TBEP_MERITOSPREFERENTES             MEP     bepmep
TBEP_NOTICIAS                       NOT     bepnot
TBEP_SOLICITUDES                    SOL     bepsol
TBEP_SOLICITUD_BOLSAS				SBO		bepsbo
TBEP_SOLICITUD_BOLSAS_MERITOS		SBM     bepsbm
TBEP_TITULACIONES                   TIT     beptit
TBEP_TITULACIONES_PREFERENTES_AREA  TPA     beptpa
TBEP_USUARIOS                       USU     bepusu
